DATE_TIME,PLANT_LABEL,INVERTER_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
5/15/2020 0:00,Plant_1,1BY6WEcLGh8j5v7,0,0,0,6259559,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,1IF53ai7Xc0U56Y,0,0,0,6183645,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,3PZuoBAID5Wc2HD,0,0,0,6987759,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,7JYdWkrLSPkdwr4,0,0,0,7602960,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,McdE0feGgRqW7Ca,0,0,0,7158964,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,VHMLBKoKgIrUVDU,0,0,0,7206408,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,WRmjgnKYAwPKWDb,0,0,0,7028673,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,ZnxXDlPa8U1GXgE,0,0,0,6522172,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,ZoEaEvLYb1n2sOq,0,0,0,7098099,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,adLQvlD726eNBSB,0,0,0,6271355,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,bvBOhCH3iADSZry,0,0,0,6316803,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,iCRJl6heRkivqQ3,0,0,0,7177992,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,ih0vzX44oOqAx2f,0,0,0,6185184,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,pkci93gMrogZuBj,0,0,0,7169102,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,rGa61gmuvPhdLxV,0,0,0,7111493,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,sjndEbLyjtCKgGv,0,0,0,7016832,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,uHbuxQJl8lW7ozc,0,0,0,7038681,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,wCURE6d3bPkepu2,0,0,0,6782598,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,z9Y9gH1T5YWrNuG,0,0,0,7007866,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,zBIq5rxdHJRwDNY,0,0,0,6339380,25.18431613,22.8575074,0
5/15/2020 0:00,Plant_1,zVJPv84UY57bAof,0,0,0,7116151,25.18431613,22.8575074,0
5/15/2020 0:15,Plant_1,1BY6WEcLGh8j5v7,0,0,0,6259559,25.08458867,22.76166787,0
5/15/2020 0:15,Plant_1,1IF53ai7Xc0U56Y,0,0,0,6183645,25.08458867,22.76166787,0
5/15/2020 0:15,Plant_1,3PZuoBAID5Wc2HD,0,0,0,6987759,25.08458867,22.76166787,0
5/15/2020 0:15,Plant_1,7JYdWkrLSPkdwr4,0,0,0,7602960,25.08458867,22.76166787,0
5/15/2020 0:15,Plant_1,McdE0feGgRqW7Ca,0,0,0,7158964,25.08458867,22.76166787,0
5/15/2020 0:15,Plant_1,VHMLBKoKgIrUVDU,0,0,0,7206408,25.08458867,22.76166787,0
5/15/2020 0:15,Plant_1,WRmjgnKYAwPKWDb,0,0,0,7028673,25.08458867,22.76166787,0
